analytic_random_trajectory_burden,observed_learned_trajectory_burden,oracle_bad_row_trajectory_burden,policy_id,row_budget,split_seed
0.29578820475230094,0.0273224043715847,0.10382513661202186,next_step_bad::logistic_regression::prefix_position_only,0.01,20250617
0.4906434170948687,0.04918032786885246,0.18579234972677597,next_step_bad::logistic_regression::prefix_position_only,0.02,20250617
0.787112505580279,0.1912568306010929,0.3825136612021858,next_step_bad::logistic_regression::prefix_position_only,0.05,20250617
0.9386399600608197,0.3770491803278688,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.1,20250617
0.9914249133755374,0.7486338797814208,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.2,20250617
0.29578820475230094,0.15846994535519127,0.10382513661202186,next_step_bad::logistic_regression::non_position_history_only,0.01,20250617
0.4906434170948687,0.15846994535519127,0.18579234972677597,next_step_bad::logistic_regression::non_position_history_only,0.02,20250617
0.787112505580279,0.46994535519125685,0.3825136612021858,next_step_bad::logistic_regression::non_position_history_only,0.05,20250617
0.9386399600608197,0.6721311475409836,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.1,20250617
0.9914249133755374,0.9562841530054644,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.2,20250617
0.29578820475230094,0.07103825136612021,0.10382513661202186,next_step_bad::logistic_regression::all_structured,0.01,20250617
0.4906434170948687,0.14754098360655737,0.18579234972677597,next_step_bad::logistic_regression::all_structured,0.02,20250617
0.787112505580279,0.4371584699453552,0.3825136612021858,next_step_bad::logistic_regression::all_structured,0.05,20250617
0.9386399600608197,0.6775956284153005,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.1,20250617
0.9914249133755374,0.9234972677595629,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.2,20250617
0.29578820475230094,0.11475409836065574,0.10382513661202186,next_step_bad::gradient_boosting::all_structured,0.01,20250617
0.4906434170948687,0.14207650273224043,0.18579234972677597,next_step_bad::gradient_boosting::all_structured,0.02,20250617
0.787112505580279,0.4371584699453552,0.3825136612021858,next_step_bad::gradient_boosting::all_structured,0.05,20250617
0.9386399600608197,0.7759562841530054,0.3989071038251366,next_step_bad::gradient_boosting::all_structured,0.1,20250617
0.9914249133755374,0.9562841530054644,0.3989071038251366,next_step_bad::gradient_boosting::all_structured,0.2,20250617
0.29578820475230094,0.10382513661202186,0.10382513661202186,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.01,20250617
0.4906434170948687,0.16393442622950818,0.18579234972677597,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.02,20250617
0.787112505580279,0.4371584699453552,0.3825136612021858,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.05,20250617
0.9386399600608197,0.7868852459016393,0.3989071038251366,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.1,20250617
0.9914249133755374,0.9508196721311475,0.3989071038251366,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.2,20250617
0.29578820475230094,0.12568306010928962,0.10382513661202186,next_step_bad::random_forest::all_structured,0.01,20250617
0.4906434170948687,0.15300546448087432,0.18579234972677597,next_step_bad::random_forest::all_structured,0.02,20250617
0.787112505580279,0.4371584699453552,0.3825136612021858,next_step_bad::random_forest::all_structured,0.05,20250617
0.9386399600608197,0.7486338797814208,0.3989071038251366,next_step_bad::random_forest::all_structured,0.1,20250617
0.9914249133755374,0.9344262295081968,0.3989071038251366,next_step_bad::random_forest::all_structured,0.2,20250617
0.3023556115898428,0.1092896174863388,0.07103825136612021,next_step_bad::logistic_regression::prefix_position_only,0.01,20250618
0.5015619717167145,0.15300546448087432,0.15846994535519127,next_step_bad::logistic_regression::prefix_position_only,0.02,20250618
0.7995611686523054,0.24043715846994534,0.3879781420765027,next_step_bad::logistic_regression::prefix_position_only,0.05,20250618
0.9454367249226827,0.3114754098360656,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.1,20250618
0.9927747103457012,0.5245901639344263,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.2,20250618
0.3023556115898428,0.13114754098360656,0.07103825136612021,next_step_bad::logistic_regression::non_position_history_only,0.01,20250618
0.5015619717167145,0.18032786885245902,0.15846994535519127,next_step_bad::logistic_regression::non_position_history_only,0.02,20250618
0.7995611686523054,0.47540983606557374,0.3879781420765027,next_step_bad::logistic_regression::non_position_history_only,0.05,20250618
0.9454367249226827,0.644808743169399,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.1,20250618
0.9927747103457012,0.9344262295081968,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.2,20250618
0.3023556115898428,0.08196721311475409,0.07103825136612021,next_step_bad::logistic_regression::all_structured,0.01,20250618
0.5015619717167145,0.18032786885245902,0.15846994535519127,next_step_bad::logistic_regression::all_structured,0.02,20250618
0.7995611686523054,0.48633879781420764,0.3879781420765027,next_step_bad::logistic_regression::all_structured,0.05,20250618
0.9454367249226827,0.6120218579234973,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.1,20250618
0.9927747103457012,0.8852459016393442,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.2,20250618
0.3023556115898428,0.09289617486338798,0.07103825136612021,next_step_bad::gradient_boosting::all_structured,0.01,20250618
0.5015619717167145,0.17486338797814208,0.15846994535519127,next_step_bad::gradient_boosting::all_structured,0.02,20250618
0.7995611686523054,0.4918032786885246,0.3879781420765027,next_step_bad::gradient_boosting::all_structured,0.05,20250618
0.9454367249226827,0.7049180327868853,0.3989071038251366,next_step_bad::gradient_boosting::all_structured,0.1,20250618
0.9927747103457012,0.9617486338797814,0.3989071038251366,next_step_bad::gradient_boosting::all_structured,0.2,20250618
0.3023556115898428,0.11475409836065574,0.07103825136612021,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.01,20250618
0.5015619717167145,0.20765027322404372,0.15846994535519127,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.02,20250618
0.7995611686523054,0.5081967213114754,0.3879781420765027,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.05,20250618
