alpha,beta,p_F_estimate,LCB_p_F_mean,structurally_impossible_rate,certified_structural_no_safe_rate,excess_burden_allowance_empirical
0.05,0.1,0.3967391304347826,0.342558107037675,1.0,1.0,-0.2467391304347826
0.05,0.2,0.3967391304347826,0.342558107037675,1.0,1.0,-0.1467391304347826
0.05,0.3,0.3967391304347826,0.342558107037675,1.0,0.0,-0.046739130434782616
0.05,0.4,0.3967391304347826,0.342558107037675,0.0,0.0,0.05326086956521742
0.05,0.5,0.3967391304347826,0.342558107037675,0.0,0.0,0.1532608695652174
0.05,0.8,0.3967391304347826,0.342558107037675,0.0,0.0,0.45326086956521744
0.1,0.1,0.3967391304347826,0.342558107037675,1.0,1.0,-0.1967391304347826
0.1,0.2,0.3967391304347826,0.342558107037675,1.0,1.0,-0.0967391304347826
0.1,0.3,0.3967391304347826,0.342558107037675,0.0,0.0,0.0032608695652173725
0.1,0.4,0.3967391304347826,0.342558107037675,0.0,0.0,0.1032608695652174
0.1,0.5,0.3967391304347826,0.342558107037675,0.0,0.0,0.20326086956521738
0.1,0.8,0.3967391304347826,0.342558107037675,0.0,0.0,0.5032608695652174
0.2,0.1,0.3967391304347826,0.342558107037675,1.0,1.0,-0.09673913043478258
0.2,0.2,0.3967391304347826,0.342558107037675,0.0,0.0,0.003260869565217428
0.2,0.3,0.3967391304347826,0.342558107037675,0.0,0.0,0.1032608695652174
0.2,0.4,0.3967391304347826,0.342558107037675,0.0,0.0,0.20326086956521744
0.2,0.5,0.3967391304347826,0.342558107037675,0.0,0.0,0.3032608695652174
0.2,0.8,0.3967391304347826,0.342558107037675,0.0,0.0,0.6032608695652175
0.3,0.1,0.3967391304347826,0.342558107037675,0.0,0.0,0.0032608695652174002
0.3,0.2,0.3967391304347826,0.342558107037675,0.0,0.0,0.1032608695652174
0.3,0.3,0.3967391304347826,0.342558107037675,0.0,0.0,0.20326086956521738
0.3,0.4,0.3967391304347826,0.342558107037675,0.0,0.0,0.3032608695652174
0.3,0.5,0.3967391304347826,0.342558107037675,0.0,0.0,0.4032608695652174
0.3,0.8,0.3967391304347826,0.342558107037675,0.0,0.0,0.7032608695652174
0.4,0.1,0.3967391304347826,0.342558107037675,0.0,0.0,0.1
0.4,0.2,0.3967391304347826,0.342558107037675,0.0,0.0,0.2
0.4,0.3,0.3967391304347826,0.342558107037675,0.0,0.0,0.3
0.4,0.4,0.3967391304347826,0.342558107037675,0.0,0.0,0.4
0.4,0.5,0.3967391304347826,0.342558107037675,0.0,0.0,0.5
0.4,0.8,0.3967391304347826,0.342558107037675,0.0,0.0,0.8
